# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Galaxias morwell	939	46.56890	0.89113	0.00483	0.97974	0.00547	0.00038	0.00685	0.00470	0.00035	0.99315	0.00470	0.00035	0.02876	0.00989	0.00051	0.97124	0.00989	0.00051	0.02908	0.01011	0.00051	0.06113	0.06504	0.00483
Galaxias terenasus	4756	6.00000	0.00000	0.00000	0.92464	0.00778	0.00075	0.00879	0.00399	0.00054	0.99121	0.00399	0.00054	0.12380	0.01982	0.00120	0.87620	0.01982	0.00120	0.13506	0.02359	0.00131	0.41549	0.24500	0.00000
Galaxias mungadhan	3706	201.15252	23.33484	0.02453	0.98204	0.00492	0.00036	0.01392	0.00435	0.00034	0.98608	0.00435	0.00034	0.02544	0.00799	0.00045	0.97456	0.00799	0.00045	0.02551	0.00803	0.00046	0.04632	0.03260	0.02453
Galaxias aequipinnis	1613	57.42388	1.41825	0.00607	0.99285	0.00259	0.00026	0.00892	0.00612	0.00040	0.99108	0.00612	0.00040	0.00902	0.00361	0.00031	0.99098	0.00361	0.00031	0.00910	0.00367	0.00031	0.00155	0.01056	0.00607
Galaxias mcdowalli	2030	30.63961	0.60960	0.00398	0.99262	0.00259	0.00026	0.01207	0.00736	0.00044	0.98793	0.00736	0.00044	0.00948	0.00359	0.00031	0.99052	0.00359	0.00031	0.00964	0.00371	0.00031	-0.00461	0.00535	0.00398
Galaxias gunaikurnai	1166	23.77264	0.29197	0.00274	0.98841	0.00386	0.00031	0.01710	0.00914	0.00048	0.98290	0.00914	0.00048	0.01519	0.00569	0.00038	0.98481	0.00569	0.00038	0.01552	0.00594	0.00039	-0.00242	0.00706	0.00274
Galaxias lanceolatus	752	30.64280	0.60559	0.00392	0.98940	0.00351	0.00030	0.00996	0.00589	0.00039	0.99004	0.00589	0.00039	0.01395	0.00534	0.00037	0.98605	0.00534	0.00037	0.01419	0.00552	0.00037	0.01207	0.01832	0.00392
Galaxias yalmy	2561	13.89375	0.09497	0.00157	0.99575	0.00182	0.00022	0.00789	0.00660	0.00041	0.99211	0.00660	0.00041	0.00482	0.00210	0.00023	0.99518	0.00210	0.00023	0.00501	0.00227	0.00024	-0.00557	0.00526	0.00157
Galaxias longifundus	374	31.73277	0.45403	0.00331	0.99389	0.00246	0.00024	0.01072	0.00822	0.00044	0.98928	0.00822	0.00044	0.00721	0.00305	0.00027	0.99279	0.00305	0.00027	0.00733	0.00315	0.00028	-0.00652	0.00698	0.00331
Galaxias moroka	1609	19.83638	0.20969	0.00225	0.99289	0.00252	0.00025	0.01129	0.00705	0.00041	0.98871	0.00705	0.00041	0.00908	0.00344	0.00029	0.99092	0.00344	0.00029	0.00932	0.00363	0.00030	-0.00350	0.00583	0.00225
Galaxias olidus Timbarra	1274	32.69601	0.52208	0.00362	0.97311	0.00814	0.00045	0.02055	0.00719	0.00042	0.97945	0.00719	0.00042	0.03604	0.01264	0.00056	0.96396	0.01264	0.00056	0.03660	0.01304	0.00057	0.04270	0.03550	0.00362
Galaxias cann	4146	6.00000	0.00000	0.00000	0.99370	0.00253	0.00027	0.01055	0.00854	0.00049	0.98945	0.00854	0.00049	0.00746	0.00316	0.00030	0.99254	0.00316	0.00030	0.00814	0.00376	0.00032	-0.00401	0.00770	0.00000
Galaxias olidus Avon	811	8.00000	0.00000	0.00000	0.99547	0.00173	0.00021	0.00818	0.00599	0.00039	0.99182	0.00599	0.00039	0.00556	0.00216	0.00024	0.99444	0.00216	0.00024	0.00593	0.00246	0.00025	-0.00416	0.00427	0.00000
Galaxias olidus Buckwong	1745	10.88728	0.10001	0.00155	0.96821	0.00943	0.00047	0.04530	0.01953	0.00068	0.95470	0.01953	0.00068	0.04271	0.01476	0.00059	0.95729	0.01476	0.00059	0.04479	0.01624	0.00062	0.00017	0.01370	0.00155
Galaxias olidus wworth	5655	14.85154	0.12642	0.00180	0.95384	0.00996	0.00050	0.06613	0.01877	0.00069	0.93387	0.01877	0.00069	0.06815	0.01715	0.00066	0.93185	0.01715	0.00066	0.07054	0.01838	0.00068	0.01523	0.02442	0.00180
Galaxias olidus Tambo	555	6.00000	0.00000	0.00000	0.97779	0.00640	0.00041	0.03028	0.01295	0.00059	0.96972	0.01295	0.00059	0.03063	0.01029	0.00052	0.96937	0.01029	0.00052	0.03342	0.01224	0.00057	0.00738	0.01530	0.00000
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Galaxias morwell	939	840157	38123	3345	0.39814	46.43009	1.17623	0.00118	0.99908	0.00027	0.00002	0.00031	0.00022	0.00002	0.99969	0.00022	0.00002	0.00131	0.00048	0.00002	0.99869	0.00048	0.00002	0.00132	0.00050	0.00002	0.00277	0.00311	0.00118
Galaxias terenasus	4756	253657	13771	6117	2.41152	5.99978	0.00076	0.00005	0.99591	0.00071	0.00005	0.00048	0.00022	0.00003	0.99952	0.00022	0.00003	0.00672	0.00186	0.00009	0.99328	0.00186	0.00009	0.00733	0.00222	0.00009	0.02256	0.02216	0.00005
Galaxias mungadhan	3706	841851	38789	6196	0.73600	200.65758	27.32880	0.00570	0.99917	0.00024	0.00002	0.00064	0.00021	0.00002	0.99936	0.00021	0.00002	0.00117	0.00040	0.00002	0.99883	0.00040	0.00002	0.00118	0.00040	0.00002	0.00213	0.00160	0.00570
Galaxias aequipinnis	1613	885505	38499	1301	0.14692	57.28266	1.77574	0.00142	0.99969	0.00011	0.00001	0.00039	0.00027	0.00002	0.99961	0.00027	0.00002	0.00039	0.00016	0.00001	0.99961	0.00016	0.00001	0.00040	0.00016	0.00001	0.00007	0.00046	0.00142
Galaxias mcdowalli	2030	904218	38420	1469	0.16246	30.54500	0.76279	0.00092	0.99969	0.00011	0.00001	0.00051	0.00032	0.00002	0.99949	0.00032	0.00002	0.00040	0.00016	0.00001	0.99960	0.00016	0.00001	0.00041	0.00016	0.00001	-0.00020	0.00023	0.00092
Galaxias gunaikurnai	1166	876803	39021	2081	0.23734	23.71916	0.35938	0.00064	0.99948	0.00018	0.00001	0.00076	0.00042	0.00002	0.99924	0.00042	0.00002	0.00068	0.00026	0.00002	0.99932	0.00026	0.00002	0.00069	0.00027	0.00002	-0.00011	0.00031	0.00064
Galaxias lanceolatus	752	900252	39339	1866	0.20728	30.54021	0.77756	0.00093	0.99954	0.00016	0.00001	0.00044	0.00026	0.00002	0.99956	0.00026	0.00002	0.00061	0.00024	0.00002	0.99939	0.00024	0.00002	0.00062	0.00025	0.00002	0.00053	0.00081	0.00093
Galaxias yalmy	2561	947500	38653	560	0.05910	13.86013	0.12101	0.00036	0.99983	0.00007	0.00001	0.00032	0.00027	0.00002	0.99968	0.00027	0.00002	0.00020	0.00009	0.00001	0.99980	0.00009	0.00001	0.00020	0.00009	0.00001	-0.00023	0.00022	0.00036
Galaxias longifundus	374	983409	41549	1024	0.10413	31.60101	0.68417	0.00083	0.99974	0.00011	0.00001	0.00045	0.00035	0.00002	0.99955	0.00035	0.00002	0.00030	0.00013	0.00001	0.99970	0.00013	0.00001	0.00031	0.00014	0.00001	-0.00028	0.00030	0.00083
Galaxias moroka	1609	1006438	41462	1401	0.13920	19.73009	0.34881	0.00059	0.99971	0.00011	0.00001	0.00047	0.00030	0.00002	0.99953	0.00030	0.00002	0.00037	0.00015	0.00001	0.99963	0.00015	0.00001	0.00038	0.00015	0.00001	-0.00014	0.00024	0.00059
Galaxias olidus Timbarra	1274	903090	39834	4996	0.55321	32.58394	0.71906	0.00089	0.99881	0.00039	0.00002	0.00091	0.00034	0.00002	0.99909	0.00034	0.00002	0.00159	0.00061	0.00003	0.99841	0.00061	0.00003	0.00161	0.00063	0.00003	0.00188	0.00164	0.00089
Galaxias cann	4146	997208	35747	699	0.07010	5.99977	0.00081	0.00003	0.99977	0.00009	0.00001	0.00038	0.00031	0.00002	0.99962	0.00031	0.00002	0.00027	0.00012	0.00001	0.99973	0.00012	0.00001	0.00029	0.00014	0.00001	-0.00014	0.00028	0.00003
Galaxias olidus Avon	811	935570	38899	742	0.07931	7.99983	0.00066	0.00003	0.99981	0.00007	0.00001	0.00034	0.00025	0.00002	0.99966	0.00025	0.00002	0.00023	0.00009	0.00001	0.99977	0.00009	0.00001	0.00025	0.00010	0.00001	-0.00017	0.00018	0.00003
Galaxias olidus Buckwong	1745	1000289	41804	5521	0.55194	10.83571	0.13889	0.00037	0.99867	0.00043	0.00002	0.00189	0.00090	0.00003	0.99811	0.00090	0.00003	0.00178	0.00069	0.00003	0.99822	0.00069	0.00003	0.00187	0.00076	0.00003	0.00001	0.00057	0.00037
Galaxias olidus wworth	5655	856560	39169	11812	1.37900	14.82702	0.14404	0.00041	0.99789	0.00055	0.00003	0.00302	0.00105	0.00004	0.99698	0.00105	0.00004	0.00312	0.00099	0.00003	0.99688	0.00099	0.00003	0.00323	0.00106	0.00004	0.00070	0.00113	0.00041
Galaxias olidus Tambo	555	895227	37461	3741	0.41788	5.99980	0.00046	0.00002	0.99907	0.00029	0.00002	0.00127	0.00058	0.00003	0.99873	0.00058	0.00003	0.00128	0.00047	0.00002	0.99872	0.00047	0.00002	0.00140	0.00056	0.00002	0.00031	0.00064	0.00002
